Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DGRSNHDV0, Area: 7.560000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DGRSNHDV1, Area: 7.560000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DGRSNHDV2, Area: 7.560000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DGRSNHDV4, Area: 8.400000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DGSNHDV0, Area: 7.000000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DGSNHDV1, Area: 7.000000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DGSNHDV2, Area: 7.000000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DGSNHDV4, Area: 7.560000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DHDV0, Area: 6.160000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DHDV1, Area: 6.160000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DHDV2, Area: 6.720000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DHDV4, Area: 7.280000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DQHDV0, Area: 5.880000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DQHDV1, Area: 5.880000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DQHDV2, Area: 5.880000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DQHDV4, Area: 6.440000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DRNHDV0, Area: 7.000000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DRNHDV1, Area: 7.000000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DRNHDV2, Area: 7.000000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DRNHDV4, Area: 8.120000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DRNQHDV0, Area: 6.720000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DRNQHDV1, Area: 6.720000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DRNQHDV2, Area: 6.720000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DRNQHDV4, Area: 7.280000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DRSNHDV0, Area: 9.240000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DRSNHDV1, Area: 9.240000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DRSNHDV2, Area: 9.240000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DRSNHDV4, Area: 9.800000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DSNHDV0, Area: 7.000000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DSNHDV1, Area: 7.000000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DSNHDV2, Area: 7.000000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DSNHDV4, Area: 7.560000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DXHDV0, Area: 8.400000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DXHDV1, Area: 8.400000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DXHDV2, Area: 8.400000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_DXHDV4, Area: 8.400000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_EDGRNHDV0, Area: 9.800000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_EDGRNHDV1, Area: 9.800000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_EDGRNHDV2, Area: 9.800000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_EDGRNHDV4, Area: 10.360000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_EDGRNQHDV0, Area: 9.520000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_EDGRNQHDV1, Area: 9.520000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_EDGRNQHDV2, Area: 9.520000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_EDGRNQHDV4, Area: 9.800000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_EDHDV0, Area: 8.400000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_EDHDV1, Area: 8.400000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_EDHDV2, Area: 8.400000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_EDHDV4, Area: 9.520000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_EDQHDV0, Area: 7.840000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_EDQHDV1, Area: 7.840000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_EDQHDV2, Area: 7.840000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_EDQHDV4, Area: 8.120000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_FDCAPHD16, Area: 4.480000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_FDCAPHD4, Area: 1.120000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_FDCAPHD8, Area: 2.240000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_F_DIODEHD16, Area: 4.480000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_F_DIODEHD2, Area: 0.560000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_F_DIODEHD4, Area: 1.120000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_F_DIODEHD8, Area: 2.240000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_I2NAND4HDV0, Area: 3.080000
